Author,Reference,Number of Subjects, Cohort,Mean Body mass index (kg/m2),Deviation standard of BMI,Number of Female Subjects,Mean Age,Deviation standard of Age,Medical treatament protocol,Statiscal Analysis,Plasmatic enteropeptide reagents,Caloric protocol Do not use as a caloric test,Cohorts,Caloric test,Kcal of the Caloric test,TOTAL GHRELIN,Time,Pmol/L,,ACYLATED GHRELIN,Time,Pmol/L,,TOTAL GIP,Time,Pmol/L,,ACTIVE GIP,Time,Pmol/L,,TOTAL GLP-1,Time,Pmol/L,,ACTIVE GLP-1,Time,Pmol/L,,TOTAL PYY,Time,Pmol/L,,,PYY3-36,Time,Pmol/L,,,Insulin,Time,Pmol/L,,Glucagon,Time,Pmol/L,,Glucose,Time,mmol/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0,168.31,,,,,,,,,,,0,25.14,,,0,2.36,,,0,46.70,,,,0,10.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,15,134.90,,,,,,,,,,,15,28.32,,,15,5.85,,,15,54.40,,,,15,10.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,30,100.86,,,,,,,,,,,30,31.61,,,30,9.35,,,30,61.50,,,,30,11.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,60,80.30,,,,,,,,,,,60,31.72,,,60,7.24,,,60,61.75,,,,60,11.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,90,89.94,,,,,,,,,,,90,32.14,,,90,6.93,,,90,58.60,,,,90,13.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,120,106.64,,,,,,,,,,,120,31.95,,,120,7.39,,,120,60.35,,,,120,13.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,150,112.42,,,,,,,,,,,150,28.54,,,150,5.63,,,150,57.89,,,,150,12.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeBenedictis 2020,"DeBenedictis JN, Nymo S, Ollestad KH, Boyesen GA, Rehfeld JF, Holst JJ, Truby H, Kulseng B, Martins C. Changes in the Homeostatic Appetite System After Weight Loss Reflect a Normalization Toward a Lower Body Weight. J Clin Endocrinol Metab. 2020 Jul 1;105(7):e2538–46. doi: 10.1210/clinem/dgaa202. PMID: 32301981; PMCID: PMC7250208.",34,Overweight After Weight loss by Caloric Restriction at 1-year Cohort,28.2,0.4,17,45.0,1.5,"In this study, reduced-obese individuals, who had previously lost 17% of their body weight (through an 8-week very-low-energy diet [VLED] followed by a 4-week refeeding and weight stabilization phase and a 1-year WL maintenance program), were compared with a nonobese FM- and FFM-matched control group. Measurements in reduced-obese individuals were taken at baseline (before WL), at week 13, and 1 year. Data from 34 healthy adults with obesity (body mass index [BMI]: 34.3 ± 2.8 kg/m2) who had participated in a previous WL study (12) were used for this analysis. Thirty-three nonobese controls (18.5 < BMI < 29 kg/m2) were recruited via online and newspaper advertising in Trondheim, Norway. The study was approved by the regional ethics committee (Ref., 2012/1901) and conducted according to the guidelines laid down in the Declaration of Helsinki. All participants provided written informed consent before commencement. All participants at recruitment were required to be weight stable (< 2 kg body weight change over the past 3 months), not currently dieting to lose weight, and with a sedentary life-style (engaging in < 150 minutes/week of physical activity of at least moderate intensity) (13). Because of the known effect of the phase of the menstrual cycle on appetite, females had to be postmenopausal or taking hormonal contraceptives (14). Exclusion criteria were pregnancy, breastfeeding, and clinically significant illness including diabetes, polycystic ovarian syndrome, hyper-/hypothyroidism, previous WL surgery, and/or medication known to affect appetite/metabolism or induce WL. The dietary protocol and study design which resulted in the WL has been fully described elsewhere (12). In brief, participants were provided with a VLED for 8 consecutive weeks (Allevo, Karo Pharma AS, Sweden) with an energy intake of 2302/2763 kJ (550/660 kcal) per day for females and males, respectively (macronutrient composition: carbohydrates 42%, protein 36%, fat 18%, and fiber 4%). No-energy fluids were allowed ad libitum. Intake of low-starch vegetables (max-imum 100 g/day) were encouraged. At week 9, participants were gradually reintroduced to normal food, whereas reducing intake of the VLED products for 4 weeks aiming at weight stabilization (there was no change in body weight between weeks 9 and 13: -0.3 ± 2.6 kg, P = 0.487). An individual diet plan was prescribed by a trained dietitian tailored to indi idual energy requirements, with 15% to 20% protein, 20% to 30% fat, and 50% to 60% carbohydrates, aimed at weight stabilization. This was followed by a 1-year multidisciplinary weight maintenance program","Statistical analysis was performed with SPSS, version 22 (SPSS Inc., Chicago, IL), and data presented as mean ± SEM, except for baseline anthropometric data, where mean ± SD was used. Statistical significance was set at P < 0.05. All data (anthropometrics, subjective appetite feelings, and plasma concentration of appetite-related hormones, both in the fasting state and after the standardized breakfast [as area under the curve—AUC]) were analyzed using linear mixed-effects models with restricted maximum-likelihood estimation. To enable estimation of changes over time in the group with obesity and the 1 observation for the control group within the same model, the model was based on a categorical variable with 4 levels: 1 through 3 for the obese group (baseline. week 13, and 1 year, respectively), and 10 for the control group (baseline). The comparisons of interest were calculated from linear combinations of the estimated means for each of these 4 categories. Within-subject correlations were accounted for by random subject-specific intercepts in the linear mixed-models. Bonferroni correction was used for post hoc pairwise comparisons: nonobese vs obese (t =1,2,3) + obese (t1-2, t1-3, t2-3); therefore, 6 comparisons. The term “changes over time” refers, therefore, to changes within the obese group (baseline, week 13, and 1 year). AUC for subjective appetite feelings and plasma concentration of appetite-related hormones was calculated from 0 to 150 minutes after the standardized breakfast, using the trapezoid rule and positive incremental AUC (iAUC) presented, as it adjusts for fasting values presented, this was used as it adjusts for fasting values.” Adjusting for menopausal status did not change the study outcomes and, therefore, we decided not include this variable in our linear mixed-effects models.","Subjective appetite feelings (hunger, fullness, desire to eat, and prospective food consumption [PFC]) were measured using a validated 10-cm visual analog scale
(15) and blood samples were collected in the fasting state and every 30 minutes (0, 30, 60, 90, 120, and 150 minutes) after a standardized breakfast (2512 kJ [600 kcal]: 17% protein, 35% fat, and 48% carbohydrates), for a period of 2.5 hours. Plasma samples were analyzed for active ghrelin, total PYY, and active GLP-1 using a Human Metabolic Hormone Magnetic Bead Panel (LINCOplex Kit, Millipore, St Louis, MO). Total GLP-1 and CCK were measured using “in-house” radioimmunoassay methods (16, 17) and PYY3-36 was measured with a commercial radioimmunoassay (Millipore). The intra- and inter-assay coefficients of variation were < 10% and < 15% for ghrelin, active GLP-1, total PYY, and PYY3-36; and < 5% and < 15% for total GLP-1 and CCK, respectively. Blood samples were collected in EDTA-coated tubes. One milliliter of whole blood was then transferred into a micro tube and a 20 μL mixture of inhibitors (10 μL of Pefabloc [Roche Diagnostic, Germany] + 10 μL DPP-IV inhibitor [Merck Millipore, Germany]) was added. For CCK, total GLP-1 and PYY3-36 analysis, aprotinin (DSM, Coatech AB, Kaiseraugst, Switzerland) (500 KIU/mL whole blood) was added to the EDTA tube. Samples were then centrifuged at 3200 rpm for 10 minutes at 18°C and the plasma frozen at −80°C until further analysis. All the samples from the same participant were analyzed in the same batch. The analysis was performed by the same technician, except for CCK and total GLP-1, which were analyzed at the University of Copenhagen, Denmark.",Standardized breakfast (2512 kJ [600 kcal]: 17% protein. 35% fat. and 48% carbohydrates). for a period of 2.5 hours.,Caloric Restriction After 1-year Cohort,Solid Mixed Meal Test,600 Kcal,,,,,ACYLATED GHRELIN,Time,Pmol/L,,,,,,,,,,TOTAL GLP-1,Time,Pmol/L,,ACTIVE GLP-1,Time,Pmol/L,,TOTAL PYY,Time,mmol/L,,,PYY 3-36,Time,Pmol/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0,167.67,,,,,,,,,,,0,26.92,,,0,2.86,,,0,40.00,,,,0,14.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,15,142.61,,,,,,,,,,,15,30.59,,,15,7.64,,,15,43.51,,,,15,14.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,30,117.56,,,,,,,,,,,30,34.59,,,30,12.16,,,30,47.37,,,,30,14.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,60,91.22,,,,,,,,,,,60,34.52,,,60,9.35,,,60,48.77,,,,60,15.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,90,100.86,,,,,,,,,,,90,33.72,,,90,9.95,,,90,48.70,,,,90,14.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,120,118.84,,,,,,,,,,,120,36.30,,,120,10.10,,,120,49.82,,,,120,15.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,150,141.33,,,,,,,,,,,150,33.69,,,150,7.84,,,150,52.28,,,,150,15.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valderas 2010,Valderas JP. Irribarra V. Boza C. de la Cruz R. Liberona Y. Acosta AM. Yolito M. Maiz A. Medical and surgical treatments for obesity have opposite effects on peptide YY and appetite: a prospective study controlled for weight loss. J Clin Endocrinol Metab. 2010 Mar;95(3):1069-75. doi: 10.1210/jc.2009-0983. Epub 2010 Jan 22. PMID: 20097707.,8,Obesity After Caloric Restriction Cohort,32.5,,,,,,Values for the area under the curve (AUC) for PYY. hunger. and satiety after a standard mixed-liquid meal were calculated using the trapezoidal method and were compared using ANOVA or a paired samples t test. Blood samples were drawn before and at 30. 60. 90. 120. and 180 min after the intake of 237 ml of a standard test meal,Total plasma PYY levels were measured with a commercially available RIA kit (Linco Research. Inc.. St. Charles. MO),Liquid standard test meal   Ensure Plus 237 ml: 355 kcal. 13 g protein. 50 g carbohydrate. 11 g fat; Abbott Laboratories. Columbus. OH,After Caloric Restriction Cohort ,Liquid Mixed Meal Test,355 Kcal,,,,,,,,,,,,,,,,,,,,,,,,,TOTAL PYY,Time,Pmol/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,14.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,16.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,19.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,18.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,20.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,21.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,20.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,17.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hedbäck 2022,"Hedbäck N, Hindsø M, Bojsen-Møller KN, Linddal AK, Jørgensen NB, Dirksen C, Møller A, Kristiansen VB, Hartmann B, Holst JJ, Svane MS, Madsbad S. Effect of Meal Texture on Postprandial Glucose Excursions and Gut Hormones After Roux-en-Y Gastric Bypass and Sleeve Gastrectomy. Front Nutr. 2022 Apr 29;9:889710. doi: 10.3389/fnut.2022.889710. PMID: 35571890; PMCID: PMC9100791.",12,Obesity after Weight loss by sleeve gastrectomy Cohort,34.2,,,54.2,,,Fasting concentrations were calculated as the mean of two (and for plasma glucose. three) basal blood samples. Total area under the curve (tAUC) was calculated using the trapezoidal rule and incremental AUC (iAUC) with subtracted fasting concentration. The primary outcome was the diﬀerence in tAUC of GLP-1 between the liquid and solid meals ( tAUC GLP-1Liq−Sol) comparing between the three groups individuals.,Further blood samples were collected into pre-chilled EDTA tubes containing a specific dipeptidyl peptidase 4 (valine-pyrrolidide. final concentration 0.01 mM. a gift from Novo Nordisk. Bagsværd. Denmark) for the analysis of GLP-1 and GIP. EDTA tubes were centrifuged immediately at 4◦C for 10 min. Serum was stored at−80◦C and plasma at−20◦C until batch analysis. Total GLP-1 and total GIP were measured by radioimmunoassays as previous described. Total ghrelin was measured using a Millipore ELISA kit (cat. no. EZGRT-89K. Billerica. MA. United States). Both meals were consumed evenly over 20 min under close supervision (including the glass of milk at the solid meal day. where intake also was distributed during the 20 min). Blood was sampled frequently for 4 h after initiation of the meal (At time 5. 10. 15. 20. 25. 30. 45. 60. 90. 120. 150. 180. and 240 min).,The meals were served at time 0 min and consisted of 65 g boiled potato. 40 g roasted chicken breast. 9 g raisins. 40 g pineapple. 65 g Patak’sR  butter chicken sauce (Patak’sR Leigh. Great Britain). 1.75 g grated coconut. 1.5 g psyllium seeds and 100 g milk (0.4 fat E%) comprising a total of 309 kcal (47 E% carbohydrate. 18 E% protein. 32 E% fat and 3 E% dietary fibers). The ingredients of the solid meal were served. thoroughly mixed. in its original textures while the glass of milk served separately. The liquid meal was prepared by blending the solid food components with the milk (using OBH Nordica Ultimate Compact 6830 blender (OBH Nordica Denmark A/S). All test meals were prepared by the same investigator in the morning of each study day. The composition and energy content of the two test meals were identical and were composed by a clinical dietitian. The meals followed the “Nordic Nutrition Recommendation”, After Sleeve Gastrectomy Cohort ,Liquid Mixed Meal Test,309 Kcal,TOTAL GHRELIN,Time,Pmol/L,,,,,,GIP   Total,Time,Pmol/L,,,,,,TOTAL GLP-1,Time,Pmol/L,,,,,,,,,,,,,,,,,,,,,,,,Glucose,Time,mmol/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0,33.60,,,,,,,0,7.99,,,,,,,0,9.97,,,,,,,,,,,,,,,,,,,,,,,,,0,5.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,15,37.80,,,,,,,15,49.30,,,,,,,15,24.60,,,,,,,,,,,,,,,,,,,,,,,,,15,6.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,30,32.40,,,,,,,30,67.60,,,,,,,30,31.00,,,,,,,,,,,,,,,,,,,,,,,,,30,6.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60,25.32,,,,,,,60,50.40,,,,,,,60,18.60,,,,,,,,,,,,,,,,,,,,,,,,,60,5.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,90,26.55,,,,,,,90,34.80,,,,,,,90,15.40,,,,,,,,,,,,,,,,,,,,,,,,,90,4.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,120,28.10,,,,,,,120,19.50,,,,,,,120,12.50,,,,,,,,,,,,,,,,,,,,,,,,,120,4.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,150,31.50,,,,,,,150,13.90,,,,,,,150,12.00,,,,,,,,,,,,,,,,,,,,,,,,,150,4.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,180,34.50,,,,,,,180,8.90,,,,,,,180,12.40,,,,,,,,,,,,,,,,,,,,,,,,,180,4.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hedbäck 2022,"Hedbäck N, Hindsø M, Bojsen-Møller KN, Linddal AK, Jørgensen NB, Dirksen C, Møller A, Kristiansen VB, Hartmann B, Holst JJ, Svane MS, Madsbad S. Effect of Meal Texture on Postprandial Glucose Excursions and Gut Hormones After Roux-en-Y Gastric Bypass and Sleeve Gastrectomy. Front Nutr. 2022 Apr 29;9:889710. doi: 10.3389/fnut.2022.889710. PMID: 35571890; PMCID: PMC9100791.",12,Obesity after Weight loss by sleeve gastrectomy Cohort,34.2,,,54.2,,,Fasting concentrations were calculated as the mean of two (and for plasma glucose. three) basal blood samples. Total area under the curve (tAUC) was calculated using the trapezoidal rule and incremental AUC (iAUC) with subtracted fasting concentration. The primary outcome was the diﬀerence in tAUC of GLP-1 between the liquid and solid meals ( tAUC GLP-1Liq−Sol) comparing between the three groups individuals.,Further blood samples were collected into pre-chilled EDTA tubes containing a specific dipeptidyl peptidase 4 (valine-pyrrolidide. final concentration 0.01 mM. a gift from Novo Nordisk. Bagsværd. Denmark) for the analysis of GLP-1 and GIP. EDTA tubes were centrifuged immediately at 4◦C for 10 min. Serum was stored at−80◦C and plasma at−20◦C until batch analysis. Total GLP-1 and total GIP were measured by radioimmunoassays as previous described. Total ghrelin was measured using a Millipore ELISA kit (cat. no. EZGRT-89K. Billerica. MA. United States). Both meals were consumed evenly over 20 min under close supervision (including the glass of milk at the solid meal day. where intake also was distributed during the 20 min). Blood was sampled frequently for 4 h after initiation of the meal (At time 5. 10. 15. 20. 25. 30. 45. 60. 90. 120. 150. 180. and 240 min).,The meals were served at time 0 min and consisted of 65 g boiled potato. 40 g roasted chicken breast. 9 g raisins. 40 g pineapple. 65 g Patak’sR  butter chicken sauce (Patak’sR Leigh. Great Britain). 1.75 g grated coconut. 1.5 g psyllium seeds and 100 g milk (0.4 fat E%) comprising a total of 309 kcal (47 E% carbohydrate. 18 E% protein. 32 E% fat and 3 E% dietary fibers). The ingredients of the solid meal were served. thoroughly mixed. in its original textures while the glass of milk served separately. The liquid meal was prepared by blending the solid food components with the milk (using OBH Nordica Ultimate Compact 6830 blender (OBH Nordica Denmark A/S). All test meals were prepared by the same investigator in the morning of each study day. The composition and energy content of the two test meals were identical and were composed by a clinical dietitian. The meals followed the “Nordic Nutrition Recommendation”, After Sleeve Gastrectomy Cohort ,Solid Mixed Meal Test,309 Kcal,TOTAL GHRELIN,Time,Pmol/L,,,,,,GIP   Total,Time,Pmol/L,,,,,,TOTAL GLP-1,Time,Pmol/L,,,,,,,,,,,,,,,,,,,,,,,,Glucose,Time,mmol/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0,28.71,,,,,,,0,3.19,,,,,,,0,11.50,,,,,,,,,,,,,,,,,,,,,,,,,0,5.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,15,32.70,,,,,,,15,39.20,,,,,,,15,16.50,,,,,,,,,,,,,,,,,,,,,,,,,15,6.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,30,28.11,,,,,,,30,56.70,,,,,,,30,22.60,,,,,,,,,,,,,,,,,,,,,,,,,30,6.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60,30.30,,,,,,,60,40.80,,,,,,,60,17.40,,,,,,,,,,,,,,,,,,,,,,,,,60,5.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,90,32.40,,,,,,,90,32.80,,,,,,,90,17.10,,,,,,,,,,,,,,,,,,,,,,,,,90,4.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,120,34.20,,,,,,,120,24.80,,,,,,,120,16.80,,,,,,,,,,,,,,,,,,,,,,,,,120,4.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,150,31.50,,,,,,,150,20.40,,,,,,,150,14.50,,,,,,,,,,,,,,,,,,,,,,,,,150,4.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,180,31.20,,,,,,,180,16.30,,,,,,,180,12.10,,,,,,,,,,,,,,,,,,,,,,,,,180,4.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
